Price,City,Location,RoomsNr,Surface
94340,Timisoara,Medicina,1,38
384000,Bucuresti,Aviatiei,3,106
343000,Brasov,Racadau,6,140
264990,Bucuresti,Aviatiei,3,90
145000,Brasov,Tractorul,3,71
100000,Brasov,Calea Bucuresti,3,55
98000,Bucuresti,Cismigiu,2,50
146000,Brasov,Tractorul,3,68
81600,Constanta,Inel II,3,50
70000,Bucuresti,Militari,2,50
109000,Bucuresti,Tei,3,65
93000,Brasov,Tractorul,1,40
59800,Timisoara,Sagului,2,40
231380,Bucuresti,Aviatiei,2,59
104900,Timisoara,Soarelui,3,65
163296,Bucuresti,Baneasa,3,76
95000,Bucuresti,Theodor Pallady,2,42
89000,Timisoara,Aradului,2,50
101900,Timisoara,Dacia,4,62
95000,Bucuresti,Crangasi,2,55
78000,Bucuresti,Tei,3,62
750,Iasi,Copou,2,49
35000,Bucuresti,Ferentari,2,35
160000,Bucuresti,Armeneasca,4,97
94500,Timisoara,Spitalul Judetean,3,65
113100,Timisoara,Bucovina,2,62
79900,Timisoara,Cetatii,2,48
70000,Timisoara,UMT,3,56
79000,Bucuresti,Theodor Pallady,2,44
254000,Bucuresti,Aviatiei,4,100
90204,Bucuresti,Colentina,2,49
188000,Bucuresti,Aviatiei,3,72
226221,Bucuresti,Domenii,2,52
73000,Bucuresti,Drumul Taberei,3,63
145900,Bucuresti,Titan,3,107
112000,Bucuresti,Lacul Tei,3,64
249500,Bucuresti,P-ta Alba Iulia,2,76
98816,Bucuresti,1 Decembrie 1918,2,61
73500,Bucuresti,Pantelimon,4,68
155000,Bucuresti,Universitate,3,60
53000,Bucuresti,Berceni,1,39
179000,Bucuresti,1 Decembrie 1918,4,177
385000,Bucuresti,Herastrau,3,111
119000,Bucuresti,Lacul Tei,3,70
109000,Bucuresti,1 Decembrie 1918,2,68
170000,Bucuresti,Domenii,3,60
96000,Bucuresti,Prelungirea Ghencea,2,69
92999,Bucuresti,Drumul Taberei,2,52
109000,Bucuresti,Pipera,2,54
254000,Bucuresti,Aviatiei,4,100
116500,Bucuresti,Bucurestii Noi,2,54
435000,Bucuresti,Herastrau,3,127
94490,Bucuresti,Theodor Pallady,3,83
82000,Bucuresti,Apusului,3,64
109990,Bucuresti,Militari,3,66
75900,Bucuresti,Militari,3,65
60550,Bucuresti,Theodor Pallady,2,48
57500,Bucuresti,Drumul Taberei,3,44
73000,Bucuresti,Drumul Taberei,2,48
112000,Bucuresti,Drumul Taberei,2,48
99000,Bucuresti,Militari,3,78
124900,Bucuresti,Decebal,2,62
83990,Bucuresti,Gorjului,2,57
86900,Bucuresti,1 Decembrie 1918,3,67
100000,Bucuresti,Brancoveanu,3,65
263000,Bucuresti,Barbu Vacarescu,3,86
64000,Bucuresti,Theodor Pallady,1,28
371000,Bucuresti,Domenii,4,112
87000,Bucuresti,Industriilor,2,44
163000,Bucuresti,Theodor Pallady,3,79
140000,Bucuresti,Theodor Pallady,3,74
163296,Bucuresti,Baneasa,3,76
549990,Bucuresti,Primaverii,3,104
420000,Bucuresti,Splaiul Unirii,4,111
44000,Bucuresti,Berceni,1,36
66900,Bucuresti,Giurgiului,2,52
230000,Bucuresti,Bucurestii Noi,3,62
67000,Bucuresti,Parcul Carol,1,40
140000,Bucuresti,Bucurestii Noi,2,60
228500,Bucuresti,Aviatiei,3,88
95000,Bucuresti,Sebastian,3,76
80000,Bucuresti,Bucurestii Noi,1,39
84990,Bucuresti,Gorjului,2,54
110000,Bucuresti,Militari,3,75
290000,Bucuresti,Drumul Sarii,3,82
41700,Bucuresti,Brancoveanu,1,40
139000,Bucuresti,Sebastian,3,80
233000,Bucuresti,Aviatiei,3,90
134000,Bucuresti,Theodor Pallady,3,69
87000,Bucuresti,Drumul Taberei,2,52
75900,Bucuresti,Drumul Taberei,2,50
82500,Bucuresti,Drumul Taberei,2,50
103900,Bucuresti,Bucur Obor,2,50
46700,Bucuresti,Gorjului,1,24
104900,Bucuresti,Drumul Taberei,2,72
320000,Bucuresti,Colentina,3,117
160000,Bucuresti,Universitate,3,107
285000,Bucuresti,Bucurestii Noi,3,143
162000,Bucuresti,Pipera,3,65
299000,Bucuresti,Berceni,5,312
358800,Bucuresti,Barbu Vacarescu,3,68
209000,Bucuresti,Cotroceni,2,58
87650,Bucuresti,Aparatorii Patriei,2,61
155000,Bucuresti,Universitate,3,68
93000,Bucuresti,Theodor Pallady,2,45
95000,Bucuresti,Industriilor,2,47
62000,Bucuresti,Industriilor,1,31
89000,Bucuresti,Industriilor,2,47
121000,Bucuresti,Pipera,2,54
88000,Bucuresti,Theodor Pallady,2,49
300000,Bucuresti,Calea Victoriei,3,108
89000,Bucuresti,Berceni,3,68
76500,Bucuresti,Lujerului,2,45
99900,Bucuresti,Metalurgiei,3,66
69000,Bucuresti,Armeneasca,3,62
179000,Bucuresti,Universitate,2,89
385001,Bucuresti,Clucerului,3,111
1100000,Bucuresti,Floreasca,4,265
399999,Bucuresti,Herastrau,3,110
120000,Bucuresti,Berceni,3,65
82000,Bucuresti,Crangasi,2,48
328000,Bucuresti,Baneasa,3,91
109990,Bucuresti,Oltenitei,2,60
1250000,Bucuresti,Unirii,4,240
77990,Bucuresti,Lujerului,2,50
99000,Bucuresti,Bucurestii Noi,1,42
167000,Bucuresti,Aviatiei,2,59
259350,Bucuresti,Domenii,3,72
118455,Bucuresti,Berceni,2,50
145000,Bucuresti,Tineretului,2,50
750000,Bucuresti,Aviatorilor,4,111
74990,Bucuresti,Lujerului,2,45
77990,Bucuresti,Drumul Taberei,2,49
81900,Bucuresti,Drumul Taberei,2,46
60900,Bucuresti,13 Septembrie,1,40
63000,Bucuresti,Crangasi,2,49
73500,Bucuresti,Crangasi,3,60
75000,Bucuresti,Drumul Taberei,3,62
65000,Bucuresti,Drumul Taberei,2,54
85000,Bucuresti,Drumul Taberei,3,63
92000,Bucuresti,Drumul Taberei,3,62
115000,Bucuresti,Militari,3,70
51000,Bucuresti,Drumul Taberei,1,31
306965,Bucuresti,Domenii,3,82
139000,Bucuresti,Aviatiei,2,56
158865,Bucuresti,Domenii,2,43
109000,Bucuresti,Pipera,2,54
83000,Bucuresti,Theodor Pallady,1,36
48000,Bucuresti,Militari,1,31
105000,Bucuresti,Militari,3,74
1300000,Bucuresti,Baneasa,5,257
50000,Bucuresti,Tei,1,34
73500,Bucuresti,Lujerului,2,39
27500,Bucuresti,Mosilor,1,29
160000,Bucuresti,Lujerului,2,55
110000,Bucuresti,Militari,3,73
109895,Bucuresti,Lacul Morii,2,72
148898,Bucuresti,Militari,3,94
134000,Bucuresti,Aparatorii Patriei,3,77
115000,Bucuresti,Tineretului,2,49
68000,Bucuresti,Tineretului,1,32
225000,Bucuresti,P-ta Victoriei,2,50
232878,Bucuresti,Domenii,3,72
159000,Bucuresti,Pipera,3,77
101490,Bucuresti,Colentina,2,53
150000,Bucuresti,Rosetti,3,88
80900,Bucuresti,Rahova,2,52
49990,Bucuresti,Berceni,1,30
80400,Bucuresti,Pantelimon,2,50
116800,Bucuresti,Pacii,4,80
138800,Bucuresti,Apusului,4,110
67800,Bucuresti,Drumul Taberei,1,32
129990,Bucuresti,Apusului,4,80
67800,Bucuresti,Pacii,1,43
134990,Bucuresti,Drumul Taberei,4,86
65890,Bucuresti,Drumul Taberei,1,40
126990,Bucuresti,Drumul Taberei,3,70
149800,Bucuresti,Pacii,3,100
106900,Bucuresti,Lujerului,3,68
84970,Bucuresti,Colentina,2,48
134000,Bucuresti,Pipera,2,59
113000,Bucuresti,Pipera,2,54
143200,Bucuresti,Chitila,3,79
106000,Bucuresti,Pipera,2,52
133900,Bucuresti,Drumul Taberei,3,78
82000,Bucuresti,Drumul Taberei,2,52
94900,Bucuresti,Drumul Taberei,3,67
164900,Bucuresti,Crangasi,4,90
91990,Bucuresti,Militari,3,74
89990,Bucuresti,Militari,2,55
89990,Bucuresti,Drumul Taberei,2,63
110000,Bucuresti,Crangasi,4,88
89200,Bucuresti,Gorjului,2,50
209990,Bucuresti,Bd. Laminorului,3,65
118000,Bucuresti,Gorjului,2,53
115000,Bucuresti,Lujerului,2,76
139990,Bucuresti,Drumul Taberei,3,76
89500,Bucuresti,Apusului,2,60
124500,Bucuresti,Drumul Taberei,4,81
87913,Bucuresti,Colentina,2,47
123000,Bucuresti,Chitila,2,53
99900,Bucuresti,Pipera,2,52
124700,Bucuresti,Militari,3,70
135000,Bucuresti,Crangasi,3,70
94990,Bucuresti,Militari,2,64
79990,Bucuresti,Gorjului,2,47
92500,Bucuresti,Grozavesti,1,32
36499,Bucuresti,Gorjului,1,20
79990,Bucuresti,Drumul Taberei,2,50
100000,Bucuresti,Lujerului,2,56
179700,Bucuresti,Militari,4,120
199500,Bucuresti,Militari,4,105
140000,Bucuresti,Militari,3,123
142000,Bucuresti,Militari,4,87
133500,Bucuresti,Lujerului,2,50
104800,Bucuresti,Militari,3,69
139990,Bucuresti,Gorjului,3,69
112000,Bucuresti,Pipera,2,54
134000,Bucuresti,Pipera,2,59
174674,Bucuresti,Baneasa,3,76
195000,Bucuresti,Bucurestii Noi,3,73
123000,Bucuresti,Chitila,2,53
94010,Bucuresti,Colentina,2,52
101000,Bucuresti,Drumul Taberei,3,67
88700,Bucuresti,Drumul Taberei,2,60
249990,Bucuresti,Unirii,3,81
108990,Bucuresti,Politehnica,2,58
88990,Bucuresti,Pacii,2,61
495000,Bucuresti,P-ta Romana,5,200
490000,Bucuresti,Cotroceni,5,253
164999,Bucuresti,Jiului,2,59
499000,Bucuresti,Dorobanti,5,210
90000,Bucuresti,Splaiul Unirii,1,37
86500,Bucuresti,Titan,2,58
96700,Bucuresti,Doamna Ghica,3,69
169900,Bucuresti,Vitan Mall,4,96
94999,Bucuresti,Vatra Luminoasa,3,59
54000,Bucuresti,Drumul Taberei,1,32
139000,Bucuresti,Aviatiei,2,56
155000,Bucuresti,Aviatiei,2,55
52899,Bucuresti,Gara de Nord,1,31
61000,Bucuresti,Giurgiului,2,36
73000,Bucuresti,1 Mai,2,53
94000,Bucuresti,Colentina,3,67
129700,Bucuresti,Timpuri Noi,2,48
82000,Bucuresti,Dristor,2,46
210966,Bucuresti,Aviatiei,2,66
177990,Bucuresti,Theodor Pallady,4,100
598999,Bucuresti,Herastrau,3,128
249500,Bucuresti,Decebal,2,76
147000,Bucuresti,Baba Novac,2,47
56000,Bucuresti,Giurgiului,3,61
39999,Bucuresti,Antiaeriana,2,29
194999,Bucuresti,Unirii,2,72
567000,Bucuresti,Dristor,5,168
66500,Bucuresti,Industriilor,1,31
94000,Bucuresti,Theodor Pallady,2,45
169000,Bucuresti,Pipera,3,77
109000,Bucuresti,Pipera,2,54
100000,Bucuresti,Industriilor,2,54
259350,Bucuresti,Domenii,3,72
134999,Bucuresti,Socului,3,65
133000,Bucuresti,Cantemir,3,57
75000,Bucuresti,Vatra Luminoasa,1,40
95000,Bucuresti,Domenii,3,57
142500,Bucuresti,Metalurgiei,3,65
157000,Bucuresti,P-ta Victoriei,3,83
189900,Bucuresti,Pipera,3,70
113000,Bucuresti,Iancului,3,64
149900,Bucuresti,Vacaresti,2,64
45899,Bucuresti,Berceni,2,37
64900,Bucuresti,Drumul Taberei,1,31
125000,Bucuresti,Dacia,2,80
105000,Bucuresti,Metalurgiei,3,68
54900,Bucuresti,Prelungirea Ghencea,1,38
100000,Bucuresti,Giurgiului,2,58
110000,Bucuresti,Pipera,2,53
384000,Bucuresti,Aviatiei,3,106
86000,Bucuresti,Theodor Pallady,2,42
147000,Bucuresti,Decebal,2,50
145000,Bucuresti,Bd. Laminorului,2,60
152000,Bucuresti,Aviatiei,1,50
74899,Bucuresti,Alexandru Obregia,2,52
130000,Bucuresti,P-ta Unirii,2,57
73500,Bucuresti,Militari,3,50
84900,Bucuresti,Metalurgiei,3,58
120000,Bucuresti,Aparatorii Patriei,2,94
73500,Bucuresti,Militari,3,50
66500,Bucuresti,Alexandru Obregia,2,50
227000,Bucuresti,Centrul Civic,3,95
95000,Bucuresti,Mihai Bravu,2,43
349900,Bucuresti,Cotroceni,4,100
88600,Bucuresti,Metalurgiei,2,53
60800,Bucuresti,Metalurgiei,1,36
158865,Bucuresti,Domenii,2,43
103600,Bucuresti,Chitila,2,59
183000,Bucuresti,Pipera,4,84
188000,Bucuresti,Aviatiei,3,72
141000,Bucuresti,Pipera,3,66
107000,Bucuresti,Theodor Pallady,3,56
86388,Bucuresti,Metalurgiei,2,50
287760,Bucuresti,Berceni,3,129
202350,Bucuresti,Berceni,3,93
54999,Bucuresti,Titan,1,30
112500,Bucuresti,Titan,3,67
79998,Bucuresti,Titan,2,49
68000,Bucuresti,Pantelimon,1,38
126000,Bucuresti,Militari,3,66
124900,Bucuresti,Rahova,3,80
155000,Bucuresti,Universitate,3,68
112000,Bucuresti,Crangasi,2,51
67000,Bucuresti,Vitan-Barzesti,1,32
45000,Bucuresti,Brancoveanu,1,33
90300,Bucuresti,Brancoveanu,3,78
140000,Bucuresti,Titulescu,3,58
345000,Bucuresti,Domenii,4,107
88000,Bucuresti,Theodor Pallady,1,39
64000,Bucuresti,Theodor Pallady,1,28
167000,Bucuresti,Tineretului,3,68
87990,Bucuresti,Unirii,2,53
123000,Bucuresti,Unirii,3,87
148000,Bucuresti,Armeneasca,2,51
79000,Bucuresti,Prelungirea Ghencea,2,74
125000,Bucuresti,Tineretului,2,43
174000,Bucuresti,Splaiul Unirii,2,54
178500,Bucuresti,Vacaresti,3,80
274990,Bucuresti,Floreasca,3,70
170000,Bucuresti,Tineretului,2,57
75000,Bucuresti,Ozana,1,54
119900,Bucuresti,Marasesti,3,83
179850,Bucuresti,Pipera,3,91
98000,Bucuresti,Giurgiului,3,68
83000,Bucuresti,Theodor Pallady,1,38
166500,Bucuresti,1 Mai,2,43
279000,Bucuresti,Bucurestii Noi,1,37
174674,Bucuresti,Baneasa,3,76
262236,Bucuresti,Bucurestii Noi,4,115
200000,Bucuresti,Bucurestii Noi,2,74
700000,Bucuresti,Titan,4,181
93000,Bucuresti,Universitate,2,53
420000,Bucuresti,Decebal,5,160
74300,Bucuresti,Vitan,1,41
89900,Bucuresti,Drumul Taberei,2,48
125000,Bucuresti,Metalurgiei,2,64
149900,Bucuresti,Iancului,2,57
228000,Bucuresti,Unirii,3,90
84990,Bucuresti,Drumul Taberei,2,49
119990,Bucuresti,Colentina,4,85
62399,Bucuresti,Drumul Taberei,1,30
57990,Bucuresti,Drumul Taberei,1,43
63990,Bucuresti,Drumul Taberei,1,38
65000,Bucuresti,Theodor Pallady,1,30
307482,Bucuresti,Domenii,3,88
64000,Bucuresti,Theodor Pallady,1,28
52990,Bucuresti,Drumul Taberei,1,32
58990,Bucuresti,Drumul Taberei,2,45
76000,Bucuresti,Drumul Taberei,2,49
74990,Bucuresti,Drumul Taberei,2,37
450000,Bucuresti,Barbu Vacarescu,4,112
169900,Bucuresti,Beller,2,45
130000,Bucuresti,Pacii,2,59
130000,Bucuresti,Lacul Tei,4,86
75000,Bucuresti,Basarabia,2,50
310000,Bucuresti,Barbu Vacarescu,3,82
165000,Bucuresti,Dorobanti,2,50
300000,Bucuresti,Pipera,4,131
119990,Bucuresti,Dorobanti,2,51
77000,Bucuresti,Drumul Taberei,2,49
186500,Bucuresti,Veteranilor,3,109
86400,Bucuresti,Chitila,1,48
83000,Bucuresti,Theodor Pallady,1,36
87955,Bucuresti,Colentina,2,47
162000,Bucuresti,Bucurestii Noi,3,74
160900,Bucuresti,Chitila,3,74
77000,Bucuresti,Theodor Pallady,1,36
82000,Bucuresti,Berceni,3,70
89000,Bucuresti,Cantemir,2,51
145000,Bucuresti,Iancului,3,90
120000,Bucuresti,Universitate,2,50
120000,Bucuresti,P-ta Unirii,3,70
53900,Bucuresti,Nicolae Grigorescu,1,27
148000,Bucuresti,Unirii,2,58
250228,Bucuresti,Pipera,3,75
205000,Bucuresti,Lujerului,2,34
67000,Bucuresti,Titan,2,48
105990,Bucuresti,Cismigiu,2,41
66600,Bucuresti,Titan,2,49
112500,Bucuresti,Rahova,3,70
135000,Bucuresti,P-ta Unirii,3,64
112500,Bucuresti,Rahova,3,70
83000,Bucuresti,Theodor Pallady,1,36
89500,Bucuresti,Chitila,1,37
378892,Bucuresti,Domenii,4,107
96000,Bucuresti,Brancoveanu,3,65
87000,Bucuresti,Berceni,3,65
156000,Bucuresti,P-ta Unirii,2,65
169000,Bucuresti,P-ta Unirii,2,73
96000,Bucuresti,Unirii,3,69
220000,Bucuresti,Decebal,3,76
63300,Bucuresti,Brancoveanu,2,54
49550,Bucuresti,Aparatorii Patriei,2,39
56900,Bucuresti,Militari,1,56
200000,Bucuresti,P-ta Amzei,4,108
53000,Bucuresti,Pantelimon,2,37
119000,Bucuresti,Cismigiu,3,71
341357,Bucuresti,Domenii,4,107
82000,Bucuresti,Theodor Pallady,2,45
73000,Bucuresti,Theodor Pallady,1,39
143200,Bucuresti,Chitila,3,79
73000,Bucuresti,Theodor Pallady,1,39
104000,Bucuresti,Dristor,3,64
53000,Bucuresti,Pantelimon,2,37
120000,Bucuresti,P-ta Romana,3,58
114900,Bucuresti,Drumul Taberei,3,73
131990,Bucuresti,Banu Manta,2,69
74500,Bucuresti,P-ta Muncii,2,52
45000,Bucuresti,P-ta Rosetti,1,20
165000,Bucuresti,Brancoveanu,3,98
239000,Bucuresti,Vitan Mall,3,82
650000,Bucuresti,Herastrau,3,109
460000,Bucuresti,Kiseleff,4,86
91450,Bucuresti,Theodor Pallady,3,75
249500,Bucuresti,Decebal,3,75
59633,Bucuresti,Theodor Pallady,2,46
81486,Bucuresti,Theodor Pallady,3,72
140000,Bucuresti,Theodor Pallady,3,74
100144,Bucuresti,Colentina,2,52
99900,Bucuresti,Pipera,2,52
76600,Bucuresti,Theodor Pallady,2,58
239000,Bucuresti,Dudesti,3,82
239000,Bucuresti,Alba Iulia,3,82
49000,Bucuresti,Theodor Pallady,1,37
69900,Bucuresti,Berceni,3,80
109000,Bucuresti,1 Mai,2,47
60800,Bucuresti,Theodor Pallady,2,50
135000,Bucuresti,Titan,3,65
91000,Bucuresti,Vitan,2,44
139000,Bucuresti,Tineretului,3,68
96000,Bucuresti,Camil Ressu,3,63
134500,Bucuresti,Unirii,3,85
90000,Bucuresti,Rosetti,3,59
240000,Bucuresti,Giulesti,3,96
57000,Bucuresti,Romana,1,38
174674,Bucuresti,Baneasa,3,76
87955,Bucuresti,Colentina,2,47
129000,Bucuresti,Pipera,2,54
109000,Bucuresti,Pipera,2,54
55000,Bucuresti,Giurgiului,3,50
187000,Bucuresti,Titan,4,107
